File,Name,Condition
2_Ground_WT_Col_2_052510.CEL,Ground_WT_Col_1,Ground_WT_Col
3_Ground_WT_Col_3_052510.CEL,Ground_WT_Col_2,Ground_WT_Col
4_Ground_WT_Col_4_052510.CEL,Ground_WT_Col_3,Ground_WT_Col
6_Ground_Act2_2_052510.CEL,Ground_act2_1,Ground_act2
7_Ground_Act2_3_052510.CEL,Ground_act2_2,Ground_act2
8_Ground_Act2_4_052510.CEL,Ground_act2_3,Ground_act2
9_Flight_WT_Col_1_052710.CEL,Flight_WT_Col_1,Flight_WT_Col
11_Flight_WT_Col_3_052510.CEL,Flight_WT_Col_2,Flight_WT_Col
12_Flight_WT_Col_4_052710.CEL,Flight_WT_Col_3,Flight_WT_Col
13_Flight_Act2_1_052510.CEL,Flight_act2_1,Flight_act2
14_Flight_Act2_2_052710.CEL,Flight_act2_2,Flight_act2
16_Flight_Act2_4_052710.CEL,Flight_act2_3,Flight_act2
